Artist_Accession_Number,call_number,pages,notes
"519","N6535.C5P47 1988","",""
"521","N6535.C5C45 1999","",""
"522","N6530.I4I55 1999","",""
"527","N6530.I4S73","",""
"530","SB466.U65C563 2004","",""
"531","N6512.F26 1985","",""
"531","N6530.I4S73","",""
"531","N6535.C4C53","",""
"531","N6536.W56 1999","",""
"531","ND235.C45 B54 2007","",""
"532","N6535.C5C45 1999","",""
"532","N6538.N5A78 2003","",""
"534","N6535.C5C45 1999","",""
"535","N6535.C5C467 1989","",""
"536","N5020.C5C564 1957","",""
"536","N6512.A72 1993","",""
"536","N6535.C5A72 1986","",""
"536","N6535.C5C467 1989","",""
"536","ND237.B4565A4 1997","",""
"537","N6510.R48 1993","",""
"537","N6512.F26 1985","",""
"537","N6530.I4S73","",""
"537","N6536.W56 1999","",""
"539","N5020.C5C564 1957","",""
"539","N531.U6L6 1987","",""
"539","N6512.F26 1985","",""
"539","N6536.W56 1999","",""
"542","N6535.C5C467 1989","",""
"543","N8354.H45 2003","",""
"543","NB198.C65 2007","",""
"544","N6530.I5A78","",""
"544","N6535.C5C467 1989","",""
"548","N5020.C5C564 1957","",""
"548","NC11.C5Y6","",""
"549","N5020.C5C564 1957","",""
"549","N531.U6L6 1987","",""
"549","N6510.F34 1990","",""
"549","N6512.F26 1985","",""
